iter	Passed	Remaining
906	4282	439
907	4286	434
908	4294	429
909	4297	425
910	4302	420
911	4316	416
912	4323	412
913	4328	407
914	4332	402
915	4335	397
916	4341	392
917	4344	388
918	4348	383
919	4350	378
920	4357	373
921	4360	368
922	4363	364
923	4366	359
924	4372	354
925	4375	349
926	4378	344
927	4381	339
928	4385	335
929	4388	330
930	4391	325
931	4394	320
932	4397	315
933	4403	311
934	4410	306
935	4413	301
936	4420	297
937	4425	292
938	4430	287
939	4437	283
940	4441	278
941	4443	273
942	4446	268
943	4452	264
944	4456	259
945	4459	254
946	4461	249
947	4466	244
948	4469	240
949	4472	235
950	4474	230
951	4477	225
952	4483	221
953	4486	216
954	4489	211
955	4492	206
956	4495	201
957	4501	197
958	4504	192
959	4507	187
960	4509	183
961	4515	178
962	4518	173
963	4521	168
964	4525	164
965	4528	159
966	4535	154
967	4539	150
968	4542	145
969	4552	140
970	4555	136
971	4558	131
972	4565	126
973	4569	121
974	4573	117
975	4576	112
976	4581	107
977	4585	103
978	4588	98
979	4592	93
980	4598	89
981	4601	84
982	4605	79
983	4608	74
984	4614	70
985	4618	65
986	4622	60
987	4629	56
988	4633	51
989	4638	46
990	4641	42
991	4648	37
992	4652	32
993	4655	28
994	4659	23
995	4662	18
996	4665	14
997	4668	9
998	4671	4
999	4678	0
